,product_name,product_image,product_spec,product_price
10,금호타이어 크루젠 HP71 EV 235/55R19,https://img.danawa.com/prod_img/500000/970/494/img/17494970_1.jpg?shrink=330:*&_v=20220720094459,"타이어, SUV, RV용, 올시즌, 전기차용, 컴포트형, 단면폭: 235mm, 편평비: 55%, 휠지름: 19인치, 에너지효율등급: 1등급, 젖은노면제동력: 3등급, UTQG 마모지수: 640(2등급), UTQG 제동력: A, UTQG 내열성: A",153000
11,금호타이어 크루젠 HP71 EV 255/45R19,https://img.danawa.com/prod_img/500000/556/425/img/20425556_1.jpg?shrink=330:*&_v=20230605145722,"타이어, SUV, RV용, 올시즌, 전기차용, 컴포트형, 단면폭: 255mm, 편평비: 45%, 휠지름: 19인치, 에너지효율등급: 1등급, 젖은노면제동력: 3등급, UTQG 마모지수: 640(2등급), UTQG 제동력: A, UTQG 내열성: A",150840
12,금호타이어 마제스티9 솔루스 TA91 EV 245/45R18,https://img.danawa.com/prod_img/500000/186/495/img/17495186_1.jpg?shrink=330:*&_v=20220720100014,"타이어, 승용차용, 올시즌, 전기차용, 컴포트형, 단면폭: 245mm, 편평비: 45%, 휠지름: 18인치, 에너지효율등급: 2등급, 젖은노면제동력: 3등급, UTQG 마모지수: 560(2등급), UTQG 제동력: AA, UTQG 내열성: A",174000
13,금호타이어 크루젠 HP71 EV 235/55R18,https://img.danawa.com/prod_img/500000/172/425/img/20425172_1.jpg?shrink=330:*&_v=20230605144440,"타이어, SUV, RV용, 올시즌, 전기차용, 컴포트형, 단면폭: 235mm, 편평비: 55%, 휠지름: 18인치, 에너지효율등급: 1등급, 젖은노면제동력: 3등급, UTQG 마모지수: 640(2등급), UTQG 제동력: A, UTQG 내열성: A",124000
14,금호타이어 크루젠 HP71 EV 255/45R20,https://img.danawa.com/prod_img/500000/810/560/img/18560810_1.jpg?shrink=330:*&_v=20221221135730,"타이어, SUV, RV용, 올시즌, 전기차용, 컴포트형, 단면폭: 255mm, 편평비: 45%, 휠지름: 20인치, 에너지효율등급: 1등급, 젖은노면제동력: 3등급, UTQG 마모지수: 640(2등급), UTQG 제동력: A, UTQG 내열성: A",190000
15,한국타이어 아이온 에보 AS IH01 245/45R19,https://img.danawa.com/prod_img/500000/138/960/img/17960138_1.jpg?shrink=330:*&_v=20221007165050,"타이어, 승용차용, 올시즌, 전기차용, 컴포트형, 단면폭: 245mm, 편평비: 45%, 휠지름: 19인치, 에너지효율등급: 2등급, 젖은노면제동력: 3등급, UTQG 마모지수: 600(2등급), UTQG 제동력: A, UTQG 내열성: A, 추천차종 현대 넥쏘, 테슬라 모델S, 테슬라 모델3",183600
16,한국타이어 키너지 AS X EV EH01A 215/55R17,https://img.danawa.com/prod_img/500000/375/882/img/29882375_1.jpg?shrink=330:*&_v=20231109133923,"타이어, SUV, RV용, 올시즌, 전기차용, 컴포트형, 단면폭: 215mm, 편평비: 55%, 휠지름: 17인치, 에너지효율등급: 3등급, 젖은노면제동력: 2등급, UTQG 마모지수: 500(3등급), UTQG 제동력: A, UTQG 내열성: A",109490
17,한국타이어 아이온 에보 AS IH01 235/35R20,https://img.danawa.com/prod_img/500000/257/144/img/13144257_1.jpg?shrink=330:*&_v=20220929085541,"타이어, 승용차용, 올시즌, 전기차용, 컴포트형, 단면폭: 235mm, 편평비: 35%, 휠지름: 20인치, 에너지효율등급: 2등급, 젖은노면제동력: 3등급, UTQG 마모지수: 600(2등급), UTQG 제동력: A, UTQG 내열성: A, 추천차종 현대 넥쏘, 테슬라 모델S, 테슬라 모델3",334060
18,한국타이어 키너지 AS EV EH01 215/55R17,https://img.danawa.com/prod_img/500000/113/027/img/15027113_1.jpg?shrink=330:*&_v=20210818154149,"타이어, 승용차용, 올시즌, 전기차용, 컴포트형, 단면폭: 215mm, 편평비: 55%, 휠지름: 17인치, 에너지효율등급: 3등급, 젖은노면제동력: 2등급, UTQG 마모지수: 500(3등급), UTQG 제동력: A, UTQG 내열성: A, 추천차종 현대 쏘나타, 현대 코나, 기아 니로",114990
19,금호타이어 마제스티9 솔루스 TA91 EV 235/40R19,https://img.danawa.com/prod_img/500000/180/495/img/17495180_1.jpg?shrink=330:*&_v=20220720095919,"타이어, 승용차용, 올시즌, 전기차용, 컴포트형, 단면폭: 235mm, 편평비: 40%, 휠지름: 19인치, 에너지효율등급: 2등급, 젖은노면제동력: 3등급, UTQG 마모지수: 560(2등급), UTQG 제동력: AA, UTQG 내열성: A",194000
20,한국타이어 아이온 에보 AS SUV IH01A 285/45R21,https://img.danawa.com/prod_img/500000/544/462/img/28462544_1.jpg?shrink=330:*&_v=20230925125030,"타이어, SUV, RV용, 올시즌, 전기차용, 컴포트형, 단면폭: 285mm, 편평비: 45%, 휠지름: 21인치, 에너지효율등급: 2등급, 젖은노면제동력: 3등급, UTQG 마모지수: 600(2등급), UTQG 제동력: A, UTQG 내열성: A, 추천차종 현대 아이오닉5, 기아 EV6",252660
21,한국타이어 아이온 윈터 SUV IW01A 255/50R20,https://img.danawa.com/prod_img/500000/505/335/img/29335505_1.jpg?shrink=330:*&_v=20231025105159,"타이어, SUV, RV용, 겨울용, 전기차용, 컴포트형, 알파인, 단면폭: 255mm, 편평비: 50%, 휠지름: 20인치, 추천차종 기아 EV6, 테슬라 모델Y",207150
22,한국타이어 아이온 에보 AS IH01 235/45R18,https://img.danawa.com/prod_img/500000/664/980/img/17980664_1.jpg?shrink=330:*&_v=20221012165127,"타이어, 승용차용, 올시즌, 전기차용, 컴포트형, 단면폭: 235mm, 편평비: 45%, 휠지름: 18인치, 에너지효율등급: 2등급, 젖은노면제동력: 3등급, UTQG 마모지수: 600(2등급), UTQG 제동력: A, UTQG 내열성: A, 추천차종 현대 넥쏘, 테슬라 모델S, 테슬라 모델3",185600
23,한국타이어 키너지 AS X EV EH01A 235/55R19,https://img.danawa.com/prod_img/500000/399/202/img/19202399_1.jpg?shrink=330:*&_v=20230303093210,"타이어, SUV, RV용, 올시즌, 전기차용, 컴포트형, 단면폭: 235mm, 편평비: 55%, 휠지름: 19인치, 에너지효율등급: 3등급, 젖은노면제동력: 2등급, UTQG 마모지수: 500(3등급), UTQG 제동력: A, UTQG 내열성: A",133040
24,한국타이어 아이온 윈터 IW01 사일런트 225/55R18,https://img.danawa.com/prod_img/500000/292/771/img/28771292_1.jpg?shrink=330:*&_v=20231103162459,"타이어, 승용차용, 겨울용, 전기차용, 컴포트형, 저소음, 알파인, 단면폭: 225mm, 편평비: 55%, 휠지름: 18인치",149000
25,한국타이어 아이온 윈터 SUV IW01A 255/35R21,https://img.danawa.com/prod_img/500000/252/336/img/29336252_1.jpg?shrink=330:*&_v=20231025111258,"타이어, SUV, RV용, 겨울용, 전기차용, 컴포트형, 알파인, 단면폭: 255mm, 편평비: 35%, 휠지름: 21인치, 추천차종 기아 EV6, 테슬라 모델Y",267710
26,한국타이어 아이온 윈터 SUV IW01A 사일런트 255/40R20,https://img.danawa.com/prod_img/500000/755/923/img/28923755_1.jpg?shrink=330:*&_v=20231023133451,"타이어, SUV, RV용, 겨울용, 전기차용, 컴포트형, 저소음, 알파인, 단면폭: 255mm, 편평비: 40%, 휠지름: 20인치, 추천차종 기아 EV6, 테슬라 모델Y",222000
27,한국타이어 아이온 에보 AS SUV IH01A 사일런트 255/45R20,https://img.danawa.com/prod_img/500000/331/462/img/28462331_1.jpg?shrink=330:*&_v=20230925123947,"타이어, SUV, RV용, 올시즌, 전기차용, 컴포트형, 저소음, 단면폭: 255mm, 편평비: 45%, 휠지름: 20인치, 에너지효율등급: 2등급, 젖은노면제동력: 3등급, UTQG 마모지수: 600(2등급), UTQG 제동력: A, UTQG 내열성: A, 추천차종 현대 아이오닉5, 기아 EV6",196300
28,한국타이어 아이온 에보 AS IH01 사일런트 245/45R19,https://img.danawa.com/prod_img/500000/567/465/img/20465567_1.jpg?shrink=330:*&_v=20230608133201,"타이어, 승용차용, 올시즌, 전기차용, 컴포트형, 저소음, 단면폭: 245mm, 편평비: 45%, 휠지름: 19인치, 에너지효율등급: 2등급, 젖은노면제동력: 3등급, UTQG 마모지수: 600(2등급), UTQG 제동력: A, UTQG 내열성: A, 추천차종 현대 넥쏘, 테슬라 모델S, 테슬라 모델3",175800
29,넥센타이어 로디안 GTX EV 235/55R19,https://img.danawa.com/prod_img/500000/224/530/img/28530224_1.jpg?shrink=330:*&_v=20231005083621,"타이어, SUV, RV용, 올시즌, 전기차용, 단면폭: 235mm, 편평비: 55%, 휠지름: 19인치, 에너지효율등급: 4등급, 젖은노면제동력: 4등급, UTQG 마모지수: 680(1등급), UTQG 제동력: A, UTQG 내열성: A",110000
30,금호타이어 크루젠 HP71 EV 255/50R20,https://img.danawa.com/prod_img/500000/382/425/img/20425382_1.jpg?shrink=330:*&_v=20230605145133,"타이어, SUV, RV용, 올시즌, 전기차용, 컴포트형, 단면폭: 255mm, 편평비: 50%, 휠지름: 20인치, 에너지효율등급: 1등급, 젖은노면제동력: 3등급, UTQG 마모지수: 640(2등급), UTQG 제동력: A, UTQG 내열성: A",167440
31,한국타이어 아이온 에보 AS IH01 235/40R19,https://img.danawa.com/prod_img/500000/278/144/img/13144278_1.jpg?shrink=330:*&_v=20220929085804,"타이어, 승용차용, 올시즌, 전기차용, 컴포트형, 단면폭: 235mm, 편평비: 40%, 휠지름: 19인치, 에너지효율등급: 2등급, 젖은노면제동력: 3등급, UTQG 마모지수: 600(2등급), UTQG 제동력: A, UTQG 내열성: A, 추천차종 현대 넥쏘, 테슬라 모델S, 테슬라 모델3",218500
32,한국타이어 아이온 윈터 SUV IW01A 255/40R20,https://img.danawa.com/prod_img/500000/957/520/img/28520957_1.jpg?shrink=330:*&_v=20231004164440,"타이어, SUV, RV용, 겨울용, 전기차용, 컴포트형, 알파인, 단면폭: 255mm, 편평비: 40%, 휠지름: 20인치, 추천차종 기아 EV6, 테슬라 모델Y",217650
33,한국타이어 아이온 에보 AS SUV IH01A 사일런트 255/45R19,https://img.danawa.com/prod_img/500000/310/462/img/28462310_1.jpg?shrink=330:*&_v=20230925123843,"타이어, SUV, RV용, 올시즌, 전기차용, 컴포트형, 저소음, 단면폭: 255mm, 편평비: 45%, 휠지름: 19인치, 에너지효율등급: 2등급, 젖은노면제동력: 3등급, UTQG 마모지수: 600(2등급), UTQG 제동력: A, UTQG 내열성: A, 추천차종 현대 아이오닉5, 기아 EV6",201440
34,한국타이어 아이온 에보 AS SUV IH01A 255/40R21,https://img.danawa.com/prod_img/500000/390/963/img/17963390_1.jpg?shrink=330:*&_v=20221011124930,"타이어, SUV, RV용, 올시즌, 전기차용, 컴포트형, 단면폭: 255mm, 편평비: 40%, 휠지름: 21인치, 에너지효율등급: 2등급, 젖은노면제동력: 3등급, UTQG 마모지수: 600(2등급), UTQG 제동력: A, UTQG 내열성: A, 추천차종 현대 아이오닉5, 기아 EV6",216570
35,한국타이어 아이온 에보 AS SUV IH01A 255/35R21,https://img.danawa.com/prod_img/500000/378/963/img/17963378_1.jpg?shrink=330:*&_v=20221011124856,"타이어, SUV, RV용, 올시즌, 전기차용, 컴포트형, 단면폭: 255mm, 편평비: 35%, 휠지름: 21인치, 에너지효율등급: 2등급, 젖은노면제동력: 3등급, UTQG 마모지수: 600(2등급), UTQG 제동력: A, UTQG 내열성: A, 추천차종 현대 아이오닉5, 기아 EV6",323840
36,한국타이어 아이온 에보 AS SUV IH01A 255/40R20,https://img.danawa.com/prod_img/500000/384/963/img/17963384_1.jpg?shrink=330:*&_v=20221011124919,"타이어, SUV, RV용, 올시즌, 전기차용, 컴포트형, 단면폭: 255mm, 편평비: 40%, 휠지름: 20인치, 에너지효율등급: 2등급, 젖은노면제동력: 3등급, UTQG 마모지수: 600(2등급), UTQG 제동력: A, UTQG 내열성: A, 추천차종 현대 아이오닉5, 기아 EV6",262660
37,한국타이어 아이온 윈터 SUV IW01A 275/40R20,https://img.danawa.com/prod_img/500000/405/336/img/29336405_1.jpg?shrink=330:*&_v=20231025111752,"타이어, SUV, RV용, 겨울용, 전기차용, 컴포트형, 알파인, 단면폭: 275mm, 편평비: 40%, 휠지름: 20인치, 추천차종 기아 EV6, 테슬라 모델Y",259820
38,한국타이어 아이온 윈터 SUV IW01A 285/45R21,https://img.danawa.com/prod_img/500000/003/336/img/29336003_1.jpg?shrink=330:*&_v=20231025110439,"타이어, SUV, RV용, 겨울용, 전기차용, 컴포트형, 알파인, 단면폭: 285mm, 편평비: 45%, 휠지름: 21인치, 추천차종 기아 EV6, 테슬라 모델Y",297280
39,금호타이어 크루젠 HP71 EV 225/60R17,https://img.danawa.com/prod_img/500000/064/425/img/20425064_1.jpg?shrink=330:*&_v=20230605144052,"타이어, SUV, RV용, 올시즌, 전기차용, 컴포트형, 단면폭: 225mm, 편평비: 60%, 휠지름: 17인치, 에너지효율등급: 1등급, 젖은노면제동력: 3등급, UTQG 마모지수: 640(2등급), UTQG 제동력: A, UTQG 내열성: A",144800
40,한국타이어 아이온 에보 AS SUV IH01A 사일런트 265/45R21,https://img.danawa.com/prod_img/500000/069/975/img/29975069_1.jpg?shrink=330:*&_v=20231115091657,"타이어, SUV, RV용, 올시즌, 전기차용, 컴포트형, 저소음, 단면폭: 265mm, 편평비: 45%, 휠지름: 21인치, 에너지효율등급: 2등급, 젖은노면제동력: 3등급, UTQG 마모지수: 600(2등급), UTQG 제동력: A, UTQG 내열성: A, 추천차종 현대 아이오닉5, 기아 EV6",273750
41,금호타이어 솔루스 TA31 EV 205/60R16,https://img.danawa.com/prod_img/500000/796/425/img/20425796_1.jpg?shrink=330:*&_v=20230605150304,"타이어, 승용차용, 올시즌, 전기차용, 컴포트형, 단면폭: 205mm, 편평비: 60%, 휠지름: 16인치, 에너지효율등급: 3등급, 젖은노면제동력: 3등급, UTQG 마모지수: 500(3등급), UTQG 제동력: A, UTQG 내열성: A",149120
42,한국타이어 아이온 윈터 IW01 265/35R21,https://img.danawa.com/prod_img/500000/485/318/img/18318485_1.jpg?shrink=330:*&_v=20221118082512,"타이어, 승용차용, 겨울용, 전기차용, 컴포트형, 알파인, 단면폭: 265mm, 편평비: 35%, 휠지름: 21인치",272330
43,한국타이어 아이온 윈터 SUV IW01A 사일런트 255/45R19,https://img.danawa.com/prod_img/500000/818/923/img/28923818_1.jpg?shrink=330:*&_v=20231023133550,"타이어, SUV, RV용, 겨울용, 전기차용, 컴포트형, 저소음, 알파인, 단면폭: 255mm, 편평비: 45%, 휠지름: 19인치, 추천차종 기아 EV6, 테슬라 모델Y",192000
44,한국타이어 아이온 에보 AS SUV IH01A 사일런트 285/45R21,https://img.danawa.com/prod_img/500000/568/462/img/28462568_1.jpg?shrink=330:*&_v=20230925125143,"타이어, SUV, RV용, 올시즌, 전기차용, 컴포트형, 저소음, 단면폭: 285mm, 편평비: 45%, 휠지름: 21인치, 에너지효율등급: 2등급, 젖은노면제동력: 3등급, UTQG 마모지수: 600(2등급), UTQG 제동력: A, UTQG 내열성: A, 추천차종 현대 아이오닉5, 기아 EV6",277560
45,한국타이어 아이온 윈터 IW01 245/45R19,https://img.danawa.com/prod_img/500000/919/828/img/28828919_1.jpg?shrink=330:*&_v=20231018123518,"타이어, 승용차용, 겨울용, 전기차용, 컴포트형, 알파인, 단면폭: 245mm, 편평비: 45%, 휠지름: 19인치",176150
46,금호타이어 마제스티9 솔루스 TA91 EV 225/55R18,https://img.danawa.com/prod_img/500000/280/798/img/28798280_1.jpg?shrink=330:*&_v=20231017085451,"타이어, 승용차용, 올시즌, 전기차용, 컴포트형, 단면폭: 225mm, 편평비: 55%, 휠지름: 18인치, 에너지효율등급: 2등급, 젖은노면제동력: 3등급, UTQG 마모지수: 560(2등급), UTQG 제동력: AA, UTQG 내열성: A",일시품절
47,한국타이어 아이온 윈터 IW01 245/45R20,https://img.danawa.com/prod_img/500000/479/622/img/29622479_1.jpg?shrink=330:*&_v=20231031142355,"타이어, 승용차용, 겨울용, 전기차용, 컴포트형, 알파인, 단면폭: 245mm, 편평비: 45%, 휠지름: 20인치",191940
48,한국타이어 아이온 에보 AS IH01 사일런트 225/55R18,https://img.danawa.com/prod_img/500000/844/974/img/29974844_1.jpg?shrink=330:*&_v=20231115085715,"타이어, 승용차용, 올시즌, 전기차용, 컴포트형, 저소음, 단면폭: 225mm, 편평비: 55%, 휠지름: 18인치, 에너지효율등급: 2등급, 젖은노면제동력: 3등급, UTQG 마모지수: 600(2등급), UTQG 제동력: A, UTQG 내열성: A, 추천차종 현대 넥쏘, 테슬라 모델S, 테슬라 모델3",166460
49,금호타이어 솔루스 TA31 EV 215/50R17,https://img.danawa.com/prod_img/500000/934/425/img/20425934_1.jpg?shrink=330:*&_v=20230605150845,"타이어, 승용차용, 올시즌, 전기차용, 컴포트형, 단면폭: 215mm, 편평비: 50%, 휠지름: 17인치, 에너지효율등급: 3등급, 젖은노면제동력: 4등급, UTQG 마모지수: 500(3등급), UTQG 제동력: A, UTQG 내열성: A",111000
50,한국타이어 아이온 에보 AS SUV IH01A 255/45R19,https://img.danawa.com/prod_img/500000/353/144/img/13144353_1.jpg?shrink=330:*&_v=20220929091128,"타이어, SUV, RV용, 올시즌, 전기차용, 컴포트형, 단면폭: 255mm, 편평비: 45%, 휠지름: 19인치, 에너지효율등급: 2등급, 젖은노면제동력: 3등급, UTQG 마모지수: 600(2등급), UTQG 제동력: A, UTQG 내열성: A, 추천차종 현대 아이오닉5, 기아 EV6",213810
51,한국타이어 아이온 에보 AS SUV IH01A 235/50R20,https://img.danawa.com/prod_img/500000/177/874/img/19874177_1.jpg?shrink=330:*&_v=20230420173406,"타이어, SUV, RV용, 올시즌, 전기차용, 컴포트형, 단면폭: 235mm, 편평비: 50%, 휠지름: 20인치, 에너지효율등급: 2등급, 젖은노면제동력: 3등급, UTQG 마모지수: 600(2등급), UTQG 제동력: A, UTQG 내열성: A, 추천차종 현대 아이오닉5, 기아 EV6",255860
52,한국타이어 아이온 에보 AS SUV IH01A 사일런트 235/50R20,https://img.danawa.com/prod_img/500000/676/462/img/28462676_1.jpg?shrink=330:*&_v=20230925125604,"타이어, SUV, RV용, 올시즌, 전기차용, 컴포트형, 저소음, 단면폭: 235mm, 편평비: 50%, 휠지름: 20인치, 에너지효율등급: 2등급, 젖은노면제동력: 3등급, UTQG 마모지수: 600(2등급), UTQG 제동력: A, UTQG 내열성: A, 추천차종 현대 아이오닉5, 기아 EV6",241120
53,미쉐린타이어 파일럿 스포츠 EV 255/40R20,https://img.danawa.com/prod_img/500000/092/719/img/19719092_1.jpg?shrink=330:*&_v=20230411090320,"타이어, 승용차용, 여름용, 전기차용, 단면폭: 255mm, 편평비: 40%, 휠지름: 20인치, 에너지효율등급: 1등급, 젖은노면제동력: 2등급, UTQG 마모지수: 320(4등급), UTQG 제동력: AA, UTQG 내열성: A",518410
54,한국타이어 아이온 윈터 IW01 235/45R18,https://img.danawa.com/prod_img/500000/398/622/img/29622398_1.jpg?shrink=330:*&_v=20231031142112,"타이어, 승용차용, 겨울용, 전기차용, 컴포트형, 알파인, 단면폭: 235mm, 편평비: 45%, 휠지름: 18인치",156410
55,미쉐린타이어 파일럿 스포츠 EV 275/35R22,https://img.danawa.com/prod_img/500000/624/004/img/19004624_1.jpg?shrink=330:*&_v=20230213083711,"타이어, 승용차용, 여름용, 전기차용, 단면폭: 275mm, 편평비: 35%, 휠지름: 22인치, 에너지효율등급: 1등급, 젖은노면제동력: 2등급, UTQG 마모지수: 320(4등급), UTQG 제동력: AA, UTQG 내열성: A",610480
56,금호타이어 솔루스 TA31 EV 215/55R17,https://img.danawa.com/prod_img/500000/688/425/img/20425688_1.jpg?shrink=330:*&_v=20230605150031,"타이어, 승용차용, 올시즌, 전기차용, 컴포트형, 단면폭: 215mm, 편평비: 55%, 휠지름: 17인치, 에너지효율등급: 4등급, 젖은노면제동력: 3등급, UTQG 마모지수: 500(3등급), UTQG 제동력: A, UTQG 내열성: A",110000
57,한국타이어 아이온 윈터 IW01 사일런트 245/40R20,https://img.danawa.com/prod_img/500000/625/771/img/28771625_1.jpg?shrink=330:*&_v=20231016130835,"타이어, 승용차용, 겨울용, 전기차용, 컴포트형, 저소음, 알파인, 단면폭: 245mm, 편평비: 40%, 휠지름: 20인치",219000
58,한국타이어 아이온 윈터 SUV IW01A 사일런트 255/45R20,https://img.danawa.com/prod_img/500000/537/164/img/13164537_1.jpg?shrink=330:*&_v=20231103161602,"타이어, SUV, RV용, 겨울용, 전기차용, 컴포트형, 저소음, 알파인, 단면폭: 255mm, 편평비: 45%, 휠지름: 20인치, 추천차종 기아 EV6, 테슬라 모델Y",212000
59,한국타이어 아이온 윈터 SUV IW01A 235/50R20,https://img.danawa.com/prod_img/500000/431/318/img/18318431_1.jpg?shrink=330:*&_v=20221118081448,"타이어, SUV, RV용, 겨울용, 전기차용, 컴포트형, 알파인, 단면폭: 235mm, 편평비: 50%, 휠지름: 20인치, 추천차종 기아 EV6, 테슬라 모델Y",172880
60,한국타이어 아이온 윈터 SUV IW01A 245/40R21,https://img.danawa.com/prod_img/500000/118/828/img/28828118_1.jpg?shrink=330:*&_v=20231018105820,"타이어, SUV, RV용, 겨울용, 전기차용, 컴포트형, 알파인, 단면폭: 245mm, 편평비: 40%, 휠지름: 21인치, 추천차종 기아 EV6, 테슬라 모델Y",233440
61,한국타이어 아이온 윈터 IW01 245/40R19,https://img.danawa.com/prod_img/500000/125/521/img/28521125_1.jpg?shrink=330:*&_v=20231004165049,"타이어, 승용차용, 겨울용, 전기차용, 컴포트형, 알파인, 단면폭: 245mm, 편평비: 40%, 휠지름: 19인치",183380
62,한국타이어 아이온 에보 AS SUV IH01A 사일런트 255/40R21,https://img.danawa.com/prod_img/500000/423/725/img/18725423_1.jpg?shrink=330:*&_v=20230111093227,"타이어, SUV, RV용, 올시즌, 전기차용, 컴포트형, 저소음, 단면폭: 255mm, 편평비: 40%, 휠지름: 21인치, 에너지효율등급: 2등급, 젖은노면제동력: 3등급, UTQG 마모지수: 600(2등급), UTQG 제동력: A, UTQG 내열성: A, 추천차종 현대 아이오닉5, 기아 EV6",203940
63,한국타이어 아이온 윈터 SUV IW01A 사일런트 275/40R22,https://img.danawa.com/prod_img/500000/803/770/img/28770803_1.jpg?shrink=330:*&_v=20231016123117,"타이어, SUV, RV용, 겨울용, 전기차용, 컴포트형, 저소음, 알파인, 단면폭: 275mm, 편평비: 40%, 휠지름: 22인치, 추천차종 기아 EV6, 테슬라 모델Y",293000
64,한국타이어 아이온 에보 AS IH01 245/45R19 4P,https://img.danawa.com/prod_img/500000/923/239/img/19239923_1.jpg?shrink=330:*&_v=20230307102119,"타이어, 승용차용, 올시즌, 전기차용, 컴포트형, 단면폭: 245mm, 편평비: 45%, 휠지름: 19인치, 에너지효율등급: 2등급, 젖은노면제동력: 3등급, UTQG 마모지수: 600(2등급), UTQG 제동력: A, UTQG 내열성: A, 타이어경도: 4P, 추천차종 현대 넥쏘, 테슬라 모델S, 테슬라 모델3",217830
65,한국타이어 아이온 윈터 SUV IW01A 235/45R20,https://img.danawa.com/prod_img/500000/271/335/img/29335271_1.jpg?shrink=330:*&_v=20231025104551,"타이어, SUV, RV용, 겨울용, 전기차용, 컴포트형, 알파인, 단면폭: 235mm, 편평비: 45%, 휠지름: 20인치, 추천차종 기아 EV6, 테슬라 모델Y",195910
66,한국타이어 아이온 윈터 IW01 255/40R19,https://img.danawa.com/prod_img/500000/500/622/img/29622500_1.jpg?shrink=330:*&_v=20231031142430,"타이어, 승용차용, 겨울용, 전기차용, 컴포트형, 알파인, 단면폭: 255mm, 편평비: 40%, 휠지름: 19인치",193290
